case_id,fold,method,vol_bin,k_top_persistent_components,gt_vox,pred_vox,global_dice,global_jaccard,overseg_ratio,correct_absent_pred_lt_10_vox,flood_gt_10000_vox,gt_components,pred_components,matched_components,lesion_tp,lesion_fn,lesion_fp,lesion_dice_sum,lesionwise_dice_mean,lesionwise_dice_median,lesion_detection_rate_dice_gt_0,lesion_detection_rate_dice_ge_0_1,selection_policy
BraTS-GLI-00009-101,4,otsu_T1c,large,1,11334,14599,0.5336058304091312,0.3638897654359945,1.288071289924122,,True,2,1,1.0,1.0,1.0,0.0,0.5340127944946289,0.2670063972473144,0.2670063972473144,0.5,0.5,min_flood_then_median_fp_subject_to_train_large_ge_90pct
BraTS-GLI-00009-101,4,gmm_T1c,large,1,11334,21499,0.5517619468217951,0.3809884332281809,1.8968590082936296,,True,2,1,1.0,1.0,1.0,0.0,0.5519785284996033,0.2759892642498016,0.2759892642498016,0.5,0.5,min_flood_then_median_fp_subject_to_train_large_ge_90pct
BraTS-GLI-00009-101,4,sustraccion,large,1,11334,10586,0.0,0.0,0.9340038821245809,,True,2,1,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct
BraTS-GLI-00009-101,4,gmm_2d,large,1,11334,1962,0.0012033694344163,0.0006020469596628,0.1731074642668078,,False,2,1,1.0,1.0,1.0,0.0,0.0006030908552929,0.0003015454276464,0.0003015454276464,0.5,0.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct
BraTS-GLI-00009-101,4,variational_spline,large,1,11334,21555,0.5525251603879716,0.3817165903457547,1.901799894123875,,True,2,1,1.0,1.0,1.0,0.0,0.5527421236038208,0.2763710618019104,0.2763710618019104,0.5,0.5,min_flood_then_median_fp_subject_to_train_large_ge_90pct
BraTS-GLI-00046-100,1,otsu_T1c,medium,1,6187,10577,0.0,0.0,1.7095522870534994,,True,2,1,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct
BraTS-GLI-00046-100,1,gmm_T1c,medium,1,6187,11199,0.0,0.0,1.8100856634879583,,True,2,1,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct
BraTS-GLI-00046-100,1,sustraccion,medium,1,6187,14700,0.0,0.0,2.3759495716825603,,True,2,1,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct
BraTS-GLI-00046-100,1,gmm_2d,medium,1,6187,452950,0.0141744185286744,0.0071377963205471,73.20995636010991,,True,2,1,1.0,1.0,1.0,0.0,0.0139105506241321,0.006955275312066,0.006955275312066,0.5,0.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct
BraTS-GLI-00046-100,1,variational_spline,medium,1,6187,11199,0.0,0.0,1.8100856634879583,,True,2,1,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct
BraTS-GLI-00543-101,2,otsu_T1c,absent,1,0,13935,,,,False,True,0,1,,,,,,,,,,min_flood_then_median_fp_subject_to_train_large_ge_90pct
BraTS-GLI-00543-101,2,gmm_T1c,absent,1,0,16769,,,,False,True,0,1,,,,,,,,,,min_flood_then_median_fp_subject_to_train_large_ge_90pct
BraTS-GLI-00543-101,2,sustraccion,absent,1,0,21555,,,,False,True,0,1,,,,,,,,,,min_flood_then_median_fp_subject_to_train_large_ge_90pct
BraTS-GLI-00543-101,2,gmm_2d,absent,1,0,6030,,,,False,False,0,1,,,,,,,,,,min_flood_then_median_fp_subject_to_train_large_ge_90pct
BraTS-GLI-00543-101,2,variational_spline,absent,1,0,16775,,,,False,True,0,1,,,,,,,,,,min_flood_then_median_fp_subject_to_train_large_ge_90pct
BraTS-GLI-00548-100,1,otsu_T1c,absent,1,0,13841,,,,False,True,0,1,,,,,,,,,,min_flood_then_median_fp_subject_to_train_large_ge_90pct
BraTS-GLI-00548-100,1,gmm_T1c,absent,1,0,1109623,,,,False,True,0,1,,,,,,,,,,min_flood_then_median_fp_subject_to_train_large_ge_90pct
BraTS-GLI-00548-100,1,sustraccion,absent,1,0,85384,,,,False,True,0,1,,,,,,,,,,min_flood_then_median_fp_subject_to_train_large_ge_90pct
BraTS-GLI-00548-100,1,gmm_2d,absent,1,0,70417,,,,False,True,0,1,,,,,,,,,,min_flood_then_median_fp_subject_to_train_large_ge_90pct
BraTS-GLI-00548-100,1,variational_spline,absent,1,0,209037,,,,False,True,0,1,,,,,,,,,,min_flood_then_median_fp_subject_to_train_large_ge_90pct
BraTS-GLI-00549-100,1,otsu_T1c,absent,1,0,13510,,,,False,True,0,1,,,,,,,,,,min_flood_then_median_fp_subject_to_train_large_ge_90pct
BraTS-GLI-00549-100,1,gmm_T1c,absent,1,0,20792,,,,False,True,0,1,,,,,,,,,,min_flood_then_median_fp_subject_to_train_large_ge_90pct
BraTS-GLI-00549-100,1,sustraccion,absent,1,0,79882,,,,False,True,0,1,,,,,,,,,,min_flood_then_median_fp_subject_to_train_large_ge_90pct
BraTS-GLI-00549-100,1,gmm_2d,absent,1,0,54316,,,,False,True,0,1,,,,,,,,,,min_flood_then_median_fp_subject_to_train_large_ge_90pct
BraTS-GLI-00549-100,1,variational_spline,absent,1,0,20792,,,,False,True,0,1,,,,,,,,,,min_flood_then_median_fp_subject_to_train_large_ge_90pct
BraTS-GLI-02061-100,1,otsu_T1c,small,1,427,4347,0.0,0.0,10.18032786885246,,False,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct
BraTS-GLI-02061-100,1,gmm_T1c,small,1,427,4541,0.0,0.0,10.634660421545668,,False,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct
BraTS-GLI-02061-100,1,sustraccion,small,1,427,65743,0.0089768777391567,0.004508675785223,153.96487119437938,,True,1,1,1.0,1.0,0.0,0.0,0.0089768776670098,0.0089768776670098,0.0089768776670098,1.0,0.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct
BraTS-GLI-02061-100,1,gmm_2d,small,1,427,80588,0.0063445041041782,0.0031823472597142,188.73067915690868,,True,1,1,1.0,1.0,0.0,0.0,0.0063445041887462,0.0063445041887462,0.0063445041887462,1.0,0.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct
BraTS-GLI-02061-100,1,variational_spline,small,1,427,4541,0.0,0.0,10.634660421545668,,False,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct
BraTS-GLI-02086-100,0,otsu_T1c,large,1,26344,7548,0.4451788032574059,0.2863215424320631,0.2865168539325842,,False,2,1,1.0,1.0,1.0,0.0,0.4455205798149109,0.2227602899074554,0.2227602899074554,0.5,0.5,min_flood_then_median_fp_subject_to_train_large_ge_90pct
