case_id,fold,method,mode,shape_threshold,vol_bin,gt_vox,pred_vox,flood_gt_10000_vox,correct_absent_pred_lt_10_vox,lesionwise_dice_mean,lesion_tp,lesion_fn,lesion_fp,dominant_found
BraTS-GLI-00009-101,4,otsu_T1c,shape_post_filter,0.5518172876195343,large,11334,0,False,,0.0,0.0,2.0,0.0,False
BraTS-GLI-00009-101,4,gmm_T1c,shape_post_filter,0.5518172876195343,large,11334,0,False,,0.0,0.0,2.0,0.0,False
BraTS-GLI-00009-101,4,sustraccion,shape_post_filter,0.5518172876195343,large,11334,7508,False,,0.0050140535458922,1.0,1.0,63.0,True
BraTS-GLI-00009-101,4,gmm_2d,shape_post_filter,0.5518172876195343,large,11334,19472,True,,0.0097223846241831,1.0,1.0,53.0,True
BraTS-GLI-00009-101,4,variational_spline,shape_post_filter,0.5518172876195343,large,11334,0,False,,0.0,0.0,2.0,0.0,False
BraTS-GLI-00046-100,1,otsu_T1c,shape_post_filter,0.5255652568220824,medium,6187,0,False,,0.0,0.0,2.0,0.0,False
BraTS-GLI-00046-100,1,gmm_T1c,shape_post_filter,0.5255652568220824,medium,6187,0,False,,0.0,0.0,2.0,0.0,False
BraTS-GLI-00046-100,1,sustraccion,shape_post_filter,0.5255652568220824,medium,6187,23354,True,,0.0031694450881332,2.0,0.0,232.0,True
BraTS-GLI-00046-100,1,gmm_2d,shape_post_filter,0.5255652568220824,medium,6187,5548,False,,0.0,0.0,2.0,34.0,False
BraTS-GLI-00046-100,1,variational_spline,shape_post_filter,0.5255652568220824,medium,6187,0,False,,0.0,0.0,2.0,0.0,False
BraTS-GLI-00543-101,2,otsu_T1c,shape_post_filter,0.5396369041183476,absent,0,0,False,1.0,,,,,
BraTS-GLI-00543-101,2,gmm_T1c,shape_post_filter,0.5396369041183476,absent,0,0,False,1.0,,,,,
BraTS-GLI-00543-101,2,sustraccion,shape_post_filter,0.5396369041183476,absent,0,11028,True,0.0,,,,,
BraTS-GLI-00543-101,2,gmm_2d,shape_post_filter,0.5396369041183476,absent,0,26635,True,0.0,,,,,
BraTS-GLI-00543-101,2,variational_spline,shape_post_filter,0.5396369041183476,absent,0,0,False,1.0,,,,,
BraTS-GLI-00548-100,1,otsu_T1c,shape_post_filter,0.5255652568220824,absent,0,0,False,1.0,,,,,
BraTS-GLI-00548-100,1,gmm_T1c,shape_post_filter,0.5255652568220824,absent,0,0,False,1.0,,,,,
BraTS-GLI-00548-100,1,sustraccion,shape_post_filter,0.5255652568220824,absent,0,14718,True,0.0,,,,,
BraTS-GLI-00548-100,1,gmm_2d,shape_post_filter,0.5255652568220824,absent,0,14068,True,0.0,,,,,
BraTS-GLI-00548-100,1,variational_spline,shape_post_filter,0.5255652568220824,absent,0,0,False,1.0,,,,,
BraTS-GLI-00549-100,1,otsu_T1c,shape_post_filter,0.5255652568220824,absent,0,0,False,1.0,,,,,
BraTS-GLI-00549-100,1,gmm_T1c,shape_post_filter,0.5255652568220824,absent,0,0,False,1.0,,,,,
BraTS-GLI-00549-100,1,sustraccion,shape_post_filter,0.5255652568220824,absent,0,9679,False,0.0,,,,,
BraTS-GLI-00549-100,1,gmm_2d,shape_post_filter,0.5255652568220824,absent,0,21128,True,0.0,,,,,
BraTS-GLI-00549-100,1,variational_spline,shape_post_filter,0.5255652568220824,absent,0,0,False,1.0,,,,,
BraTS-GLI-02061-100,1,otsu_T1c,shape_post_filter,0.5255652568220824,small,427,0,False,,0.0,0.0,1.0,0.0,False
BraTS-GLI-02061-100,1,gmm_T1c,shape_post_filter,0.5255652568220824,small,427,0,False,,0.0,0.0,1.0,0.0,False
BraTS-GLI-02061-100,1,sustraccion,shape_post_filter,0.5255652568220824,small,427,9173,False,,0.0002386375854257,1.0,0.0,209.0,True
BraTS-GLI-02061-100,1,gmm_2d,shape_post_filter,0.5255652568220824,small,427,13489,True,,0.0004409171233419,1.0,0.0,161.0,True
BraTS-GLI-02061-100,1,variational_spline,shape_post_filter,0.5255652568220824,small,427,0,False,,0.0,0.0,1.0,0.0,False
BraTS-GLI-02086-100,0,otsu_T1c,shape_post_filter,0.5530794707693413,large,26344,7548,False,,0.2227602899074554,1.0,1.0,0.0,True
BraTS-GLI-02086-100,0,gmm_T1c,shape_post_filter,0.5530794707693413,large,26344,8476,False,,0.2432890683412552,1.0,1.0,0.0,True
BraTS-GLI-02086-100,0,sustraccion,shape_post_filter,0.5530794707693413,large,26344,5824,False,,0.0031649013981223,2.0,0.0,136.0,True
BraTS-GLI-02086-100,0,gmm_2d,shape_post_filter,0.5530794707693413,large,26344,9178,False,,0.0022819025907665,1.0,1.0,106.0,True
BraTS-GLI-02086-100,0,variational_spline,shape_post_filter,0.5530794707693413,large,26344,8555,False,,0.2323287427425384,1.0,1.0,0.0,True
BraTS-GLI-02093-106,1,otsu_T1c,shape_post_filter,0.5255652568220824,small,1054,0,False,,0.0,0.0,5.0,0.0,False
BraTS-GLI-02093-106,1,gmm_T1c,shape_post_filter,0.5255652568220824,small,1054,0,False,,0.0,0.0,5.0,0.0,False
BraTS-GLI-02093-106,1,sustraccion,shape_post_filter,0.5255652568220824,small,1054,12557,True,,0.0,0.0,5.0,261.0,False
BraTS-GLI-02093-106,1,gmm_2d,shape_post_filter,0.5255652568220824,small,1054,21692,True,,0.0019154769834131,2.0,3.0,161.0,True
BraTS-GLI-02093-106,1,variational_spline,shape_post_filter,0.5255652568220824,small,1054,0,False,,0.0,0.0,5.0,0.0,False
BraTS-GLI-02101-101,1,otsu_T1c,shape_post_filter,0.5255652568220824,medium,4365,0,False,,0.0,0.0,2.0,0.0,False
BraTS-GLI-02101-101,1,gmm_T1c,shape_post_filter,0.5255652568220824,medium,4365,0,False,,0.0,0.0,2.0,0.0,False
BraTS-GLI-02101-101,1,sustraccion,shape_post_filter,0.5255652568220824,medium,4365,7423,False,,0.005226288922131,1.0,1.0,173.0,True
