case_id,fold,mode,method,threshold,vol_bin,gt_vox,pred_vox,lesionwise_dice_mean,lesion_tp,lesion_fn,lesion_fp,flood_gt_10000_vox,correct_absent_pred_lt_10_vox
BraTS-GLI-02245-103,2,pre_filter,otsu_T1c,0.0,small,1089,12908,0.0,0,3,1,True,
BraTS-GLI-02245-103,2,post_filter,otsu_T1c,0.0,small,1089,12908,0.0,0,3,1,True,
BraTS-GLI-02245-103,2,pre_filter,gmm_T1c,0.0,small,1089,14309,0.015169608406722546,1,2,0,True,
BraTS-GLI-02245-103,2,post_filter,gmm_T1c,0.0,small,1089,14309,0.015169608406722546,1,2,0,True,
BraTS-GLI-02245-103,2,pre_filter,sustraccion,0.0,small,1089,74106,0.004971534479409456,3,0,201,True,
BraTS-GLI-02245-103,2,post_filter,sustraccion,0.0,small,1089,74106,0.004971534479409456,3,0,201,True,
BraTS-GLI-02245-103,2,pre_filter,gmm_2d,0.0,small,1089,114493,0.008399195037782192,3,0,168,True,
BraTS-GLI-02245-103,2,post_filter,gmm_2d,0.0,small,1089,114493,0.008399195037782192,3,0,168,True,
BraTS-GLI-02245-103,2,pre_filter,variational_spline,0.0,small,1089,14312,0.015166589058935642,1,2,0,True,
BraTS-GLI-02245-103,2,post_filter,variational_spline,0.0,small,1089,14312,0.015166589058935642,1,2,0,True,
BraTS-GLI-02245-103,2,pre_filter,otsu_T1c,0.001,small,1089,6909,0.0,0,3,6,False,
BraTS-GLI-02245-103,2,post_filter,otsu_T1c,0.001,small,1089,12908,0.0,0,3,1,True,
BraTS-GLI-02245-103,2,pre_filter,gmm_T1c,0.001,small,1089,7369,0.0,0,3,6,False,
BraTS-GLI-02245-103,2,post_filter,gmm_T1c,0.001,small,1089,14309,0.015169608406722546,1,2,0,True,
BraTS-GLI-02245-103,2,pre_filter,sustraccion,0.001,small,1089,30617,0.0045397644862532616,2,1,108,True,
BraTS-GLI-02245-103,2,post_filter,sustraccion,0.001,small,1089,67982,0.006154897157102823,2,1,70,True,
BraTS-GLI-02245-103,2,pre_filter,gmm_2d,0.001,small,1089,47243,0.007384379860013723,3,0,108,True,
BraTS-GLI-02245-103,2,post_filter,gmm_2d,0.001,small,1089,104640,0.010707562789320946,2,1,65,True,
